GR Number,Branch,Gender,Division,Height,Weight,CGPA,SGPA,Clubs
22010678,Computer Science,M,C,173.2,84.6,9.91,10,2
22010449,Computer Science,F,B,152cm,47,9.59,9.5,0
22010368,Computer Science,M,B,182.5,82.6,9.60,9.5,0
22120008,Computer Science,M,B,180.34 cm,85 kg,9.50,96.29%,1
22010690,Computer Science,F,B,164 cm,52 Kgs,9.93,9.88,none
223032,Computer Science,M,C,173,67,9.80,9.7,0
22120179,Computer Science,F,C,147 cm,42,9.50,DSY,_
22010557,Computer Science,M,C,170,75,9.54,9.54,1
22011046,Computer Science,M,D,175,58 kg,9.80,9.7,3
22010674,Computer Science,M,C,176 cm,66 kg,9.75,9.46,None
22120059,Computer Science,F,B,147 cm,58,9.50,Diploma third sem: 87.63,No
22010473,Computer Science,F,C,156,50.1,10.00,10,2
22010069,Computer Science,M,C,173.736,63.05,9.30,9.83,"CSI, TedX, CyberCell "
22010328,Computer Science,M,A,175,56.9,9.70,9.6,1
22010130,Computer Science,M,C,171cm,66.5kg,9.40,9.5,1) EDC
22120034,Computer Science,F,B,170 cm,62 kg,9.60,86.5,No
22120073,Computer Science,M,B,176,50,9.60,81,none
22010502,Computer Science,M,B,174.6,76,9.83,9.84,2
22120195,Computer Science,M,B,163.00 cm ,50kg,9.00,9.6,Vishwakarma institute of information technology
22120103,Computer Science,F,B,162 cm,57.9 kgs,9.50,Diploma Third Sem : 81.22,0
22010163,Computer Science,M,B,178,87,9.80,10,0
22010059,Computer Science,F,B,152.4 cm,50 kg,9.56,9.22,2
22010601,Computer Science,M,C,180.34 cm,55 kg,8.97,7.45,0
22010321,Computer Science,M,B,177cm,72kgs,9.54,9.79,1
22010726,Computer Science,M,B,171.4,42,9.50,8.07,0
22010517,Computer Science,M,C,180.9,103,9.87,9.67,0
22011198,Computer Science,M,C,160,60,9.50,9.4,4
22010318,Computer Science,M,B,169cm,70.6,9.45,9.17,0
22010976,Computer Science,M,B,171.2,59.4,9.60,9.4,3
22011157,Computer Science,M,C,177.8 cm,62.2,10.00,9.5,2
22120137,Computer Science,F,B,152,36.1,9.50,92.6,0
22120068,Computer Science,M,B,167cm,60,9.50,94,0
22010374,Computer Science,M,A,162.5 cm,48.4,9.40,9.3,0
22010386,Computer Science,M,C,178,64.9,9.75,10,1
22011168,Computer Science,M,C,186 cm ,78Kgs,9.80,9.88,0
22011110,Computer Science,M,C,160,65,9.32,9.32,0
22010928,Computer Science,M,B,176.78,58kg,9.68,8.92,None
223008,Computer Science,F,C,165,53,9.60,7.5,Blockchain club
22011125,Computer Science,F,C,164.54,60,9.93,9.92,0
22010930,Computer Science,F,B,165 cm,53 kg,9.70,9.7,3
22120082,Computer Science,F,B,154 centimeter,40 kg,9.50,88.29%,0
22010292,Computer Science,F,C,176.78,48.5,9.29,9.41,1
22011105,Computer Science,M,B,170.2,65.1,9.73,9.64,1
22010967,Computer Science,M,A,182.2,50,10.00,10,1
22010815,Computer Science,M,B,153,43,8.72,9.42,0
22010817,Computer Science,M,D,164.6,68,9.88,9.42,2
22010703,Computer Science,M,B,167.5,63.5,9.40,9.6,0
22120150,Computer Science,M,C,172,72,9.67,9.67,IEEE Student Branch VIIT
22011003,Computer Science,M,B,180.34,54,9.79,9.63,0
22011115,Computer Science,M,C,182,72.5,9.90,9.8,3
22010085,Computer Science,M,B,180 cm,85 kg ,9.65,9.6,0
22010458,Computer Science,M,A,165,68,9.86,9.86,1
22120167,Computer Science,M,C,178,68,10.00,10,2
22010201,Computer Science,M,D,178 cm,77 kgs,10.00,9.83,2
22010587,Computer Science,M,C,167.6,70,9.60,9.7,0
22011078,Computer Science,M,A,172cm,63,8.97,9.32,Aavishkar
22010483,Computer Science,M,A,175 cm,70.5kgs,9.80,9.5,None
22010574,Computer Science,M,A,172.6,50,9.50,9.75,0
22010993,Computer Science,M,A,160,57,9.90,9.9,3
22010044,Computer Science,F,A,164.5,52.5,8.90,9.2,1
22010798,Computer Science,M,A,175,57.5,10.00,10,IOT
22120015,Computer Science,M,A,190.5 cm,76,9.50,NA,1
22120281,Computer Science,M,A,168,54.5,9.50,na,0
22120232,Computer Science,M,A,157.48,68.5,9.20,9,0
22011017,Computer Science,M,A,175.50cm,79.3 kg,9.86,9.81,1
22120123,Computer Science,M,A,179.1,56.8,9.50,0,0
22010610,Computer Science,M,A,173,79.8,9.79,9.67,None 
22010855,Computer Science,M,A,182.88 cm,55 kg's,9.70,9.74,2
22010570,Computer Science,F,A,170.18 cm,72.5 kg,9.59,9.83,1 (Aavishkar)
22010787,Computer Science,M,A,180.00cm,75.00 Kgs,9.60,9,4
22010700,Computer Science,M,A,185,69.9,9.80,9.78,None
22010484,Computer Science,M,A,180,61,9.79,9.51,none
22120252,Computer Science,M,A,183 cm,72.5 kg ,9.60,Null,None
